repo_name,creation_date,main_language,stars_count,merged_pr_count,release_version_count,last_modified_date,total_issue_count,closed_issue_count,issue_resolution_ratio,repository_age,days_since_last_modification
core-js,2013-07-17T16:32:27Z,JavaScript,24282,258,243,2024-08-22T22:25:56Z,941,910,0.9670563230605739,11,-1
components,2016-01-04T18:50:02Z,TypeScript,24275,12012,496,2024-08-22T18:46:42Z,15135,13199,0.8720845721836802,8,0
wttr.in,2015-12-26T21:03:43Z,Python,24272,271,0,2024-08-22T16:48:00Z,658,361,0.5486322188449848,9,0
Wox,2013-12-19T15:49:32Z,Go,24269,308,39,2024-08-22T20:10:27Z,3549,3387,0.9543533389687235,11,-1
coc.nvim,2018-05-01T22:39:02Z,TypeScript,24263,818,82,2024-08-22T18:46:14Z,3376,3341,0.9896327014218009,6,0
pkg,2016-08-08T19:41:59Z,JavaScript,24263,176,41,2024-08-22T10:57:59Z,1428,1428,1.0,8,0
BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,Kotlin,24260,191,209,2024-08-22T09:08:58Z,3578,3186,0.8904415874790386,8,0
stats,2019-05-29T19:24:56Z,Swift,24255,367,258,2024-08-22T16:39:43Z,1651,1636,0.9909145972138098,5,0
awesome-sysadmin,2014-12-23T08:41:22Z,Unknown,24248,317,0,2024-08-22T22:48:17Z,97,86,0.8865979381443299,10,-1
medusa,2020-01-18T13:39:04Z,TypeScript,24247,4974,80,2024-08-22T21:30:13Z,1966,1689,0.8591047812817905,4,-1
vapor,2016-01-18T22:37:52Z,Swift,24228,1218,561,2024-08-22T20:16:04Z,1653,1567,0.9479733817301875,8,-1
data-engineering-zoomcamp,2021-10-21T09:32:50Z,Jupyter Notebook,24227,291,0,2024-08-22T19:26:55Z,124,123,0.9919354838709677,3,0
wiki,2016-08-16T19:35:26Z,Vue,24214,370,118,2024-08-22T21:18:33Z,2478,2419,0.9761904761904762,8,-1
elixir,2011-01-09T08:43:57Z,Elixir,24188,6973,152,2024-08-22T22:26:32Z,5409,5388,0.9961175818080976,13,-1
AdGuardHome,2016-07-06T10:31:47Z,Go,24185,118,184,2024-08-22T20:52:50Z,5337,4448,0.8334270189244894,8,-1
nanoid,2017-08-05T05:24:35Z,JavaScript,24172,187,3,2024-08-22T21:48:56Z,238,232,0.9747899159663865,7,-1
Umi-OCR,2022-03-28T04:01:46Z,Python,24146,39,29,2024-08-22T17:41:23Z,524,434,0.8282442748091603,2,0
mdb-ui-kit,2014-08-18T11:54:00Z,SCSS,24143,193,38,2024-08-22T22:26:38Z,1193,1173,0.9832355406538139,10,-1
