name,url,ts_ignore,any,specific_types,qty_js_files,qty_ts_files,TLOC,JS_LOC,tsconfig_path,strict,strictNullChecks,strictBindCallApply,strictFunctionTypes,strictPropertyInitialization,noImplicitAny,noImplicitThis,alwaysStrict,releases,age,created_at,prev_year_commit,prev_year_ts_ignore,prev_year_any,prev_year_specific_types,prev_year_TLOC,prev_year_JS_LOC,prev_year_tsconfig_path,prev_year_strict,prev_year_strictNullChecks,prev_year_strictBindCallApply,prev_year_strictFunctionTypes,prev_year_strictPropertyInitialization,prev_year_noImplicitAny,prev_year_noImplicitThis,prev_year_alwaysStrict
nitro,https://github.com/nitrojs/nitro,23,109,925,2,722,20205,1,repos\nitro\tsconfig.json,1,1,1,1,1,1,1,1,38,2,2022-01-26T12:37:12Z,37e9f2b483c92b790873655f21a3d8c68b1c500a,17,54,543,13492,0,repos\nitro\tsconfig.json,0,0,0,0,0,0,0,0
react-nodegui,https://github.com/nodegui/react-nodegui,0,152,648,26,172,6651,718,repos\react-nodegui\tsconfig.json,1,1,1,1,1,1,1,1,28,5,2019-06-23T20:41:01Z,87c844050c86e0eb548c3e6e8c57bd40d5174546,0,152,648,6651,718,repos\react-nodegui\tsconfig.json,1,1,1,1,1,1,1,1
opencti,https://github.com/OpenCTI-Platform/opencti,33,284,10346,972,1386,532371,250243,not_found,0,0,0,0,0,0,0,0,226,6,2018-12-17T22:57:34Z,2b6a9a268033fc546f4ecb5ddf94cdeeddd04829,15,173,7017,542282,346705,not_found,0,0,0,0,0,0,0,0
nodejs.org,https://github.com/nodejs/nodejs.org,0,3,338,6,164,13643,166,not_found,0,0,0,0,0,0,0,0,0,9,2015-06-19T11:05:10Z,97be6e97c6e095fb42231287e3f43d496aac0ff2,0,0,182,5071,0,repos\nodejs.org\tsconfig.json,1,1,1,1,1,1,1,1
BizCharts,https://github.com/alibaba/BizCharts,48,120,380,14,90,25135,8336,repos\BizCharts\tsconfig.json,0,0,0,0,0,0,0,0,22,7,2017-11-10T08:27:54Z,b181662d047d6b4699ded7328f4e3d98783b7195,48,120,380,25135,8336,repos\BizCharts\tsconfig.json,0,0,0,0,0,0,0,0
RedisInsight,https://github.com/RedisInsight/RedisInsight,23,683,7665,76,4612,201345,2084,repos\RedisInsight\tsconfig.json,1,1,1,1,1,1,1,1,35,3,2021-07-30T09:20:35Z,a8bf6e2c314d69fb5cbc7115922f921d59a34795,22,668,6590,171650,1808,repos\RedisInsight\tsconfig.json,1,1,1,1,1,1,1,1
embla-carousel,https://github.com/davidjerleke/embla-carousel,5,1,1603,462,578,41252,10418,not_found,0,0,0,0,0,0,0,0,134,5,2019-03-18T18:34:50Z,939d7988741b87a77eef0ef45a61184d67beb786,20,1,1366,37060,8964,not_found,0,0,0,0,0,0,0,0
express-validator,https://github.com/express-validator/express-validator,0,63,425,10,68,4702,358,repos\express-validator\tsconfig.json,0,1,0,0,0,1,1,0,122,13,2011-10-05T09:32:19Z,28a8d5fb9866636520461ae93f76d33b5207ee16,0,63,418,4571,358,repos\express-validator\tsconfig.json,0,1,0,0,0,1,1,0
bullmq,https://github.com/taskforcesh/bullmq,9,122,1143,54,206,37363,487,repos\bullmq\tsconfig.json,1,0,1,1,1,1,1,1,609,6,2018-12-19T21:46:28Z,719ba5bc6fcc09d99a664b8986bad67163bfcb90,9,73,819,27154,366,repos\bullmq\tsconfig.json,1,0,1,1,1,1,1,1
rowy,https://github.com/rowyio/rowy,2,494,1640,10,322,65300,191,repos\rowy\tsconfig.json,1,1,1,1,1,1,1,1,19,5,2019-09-05T08:07:18Z,e80a08d274b6f3112dc7d730518334175d7b5501,2,494,1638,65274,191,repos\rowy\tsconfig.json,1,1,1,1,1,1,1,1
web-clipper,https://github.com/webclipper/web-clipper,0,111,1224,12,416,17410,371,repos\web-clipper\tsconfig.json,1,1,1,1,1,1,1,1,73,6,2018-10-16T17:00:34Z,d4ab961b03b3fcaa160af505a513a9d828201878,0,102,1163,16487,401,repos\web-clipper\tsconfig.json,1,1,1,1,1,1,1,1
consola,https://github.com/unjs/consola,1,56,169,0,92,3795,0,repos\consola\tsconfig.json,1,1,1,1,1,1,1,1,44,6,2018-03-31T15:47:47Z,a440c4d4bbc39135a1514bcd78fcbaba2c571285,1,56,157,2884,0,repos\consola\tsconfig.json,1,1,1,1,1,1,1,1
react-native-gesture-handler,https://github.com/software-mansion/react-native-gesture-handler,79,90,1419,130,262,35834,2661,repos\react-native-gesture-handler\tsconfig.json,1,1,1,1,1,1,1,1,100,8,2016-10-27T08:31:38Z,d91de59166d5a364ce43ee01fcc0cdb42c0e5549,69,74,1194,23966,1114,repos\react-native-gesture-handler\tsconfig.json,1,1,1,1,1,1,1,1
