request_number,response_time,response_size,language,per_page
314,0.2262871265411377,95,JavaScript,75
315,0.2674369812011719,95,Swift,98
316,0.23293495178222656,95,C++,26
317,0.24023199081420898,95,Swift,98
318,2.953047037124634,95,Kotlin,65
319,0.24448680877685547,95,Java,86
320,0.8636541366577148,95,JavaScript,7
321,0.22883105278015137,95,JavaScript,32
322,0.2251138687133789,95,Kotlin,41
323,0.25588297843933105,95,Java,77
324,0.20911788940429688,95,Java,80
325,0.21684718132019043,95,Python,53
326,0.23059415817260742,95,Java,79
327,0.22542810440063477,95,Swift,33
328,0.22201180458068848,95,Ruby,9
329,0.3156249523162842,95,JavaScript,30
330,0.21886205673217773,95,Python,73
331,0.2770497798919678,95,Kotlin,89
332,0.2159709930419922,95,Swift,99
333,0.21681618690490723,95,Kotlin,58
334,0.2535560131072998,95,JavaScript,35
335,1.093435287475586,95,Ruby,92
336,0.2447972297668457,95,Ruby,87
337,0.25989389419555664,95,Swift,64
338,0.2134408950805664,95,Ruby,100
339,0.21733498573303223,95,Kotlin,71
340,0.22704505920410156,95,Python,99
341,0.22459793090820312,95,JavaScript,99
342,0.24284911155700684,95,Ruby,48
343,0.29265594482421875,95,Ruby,74
344,0.22349905967712402,95,Ruby,89
345,0.24311494827270508,95,Kotlin,66
346,0.232957124710083,95,Python,85
347,0.2176220417022705,95,Go,66
348,0.22485899925231934,95,Java,11
349,0.21342682838439941,95,Swift,27
350,0.21443891525268555,95,C++,25
351,0.23868799209594727,95,Python,91
352,0.2125098705291748,95,Kotlin,17
353,0.22838878631591797,95,JavaScript,62
354,0.22084617614746094,95,C++,62
355,0.22308707237243652,95,Python,50
356,0.23250508308410645,95,Kotlin,16
357,0.21877813339233398,95,Swift,37
358,0.23896288871765137,95,Python,53
359,0.22397422790527344,95,C++,10
360,0.2620689868927002,95,Go,79
361,0.24710583686828613,95,Ruby,81
362,0.37319016456604004,95,Swift,8
363,0.2286379337310791,95,Swift,37
364,0.24817919731140137,95,C++,32
365,0.23008322715759277,95,Ruby,72
366,0.2159900665283203,95,Java,55
367,0.22715020179748535,95,Go,10
368,0.2187819480895996,95,Go,55
369,0.23739981651306152,95,Swift,26
370,0.24204301834106445,95,Python,3
371,0.6778011322021484,95,C++,71
372,0.23033618927001953,95,JavaScript,45
373,0.25186610221862793,95,Go,16
374,0.26113176345825195,95,JavaScript,2
375,0.29755616188049316,95,Python,2
376,0.22327399253845215,95,JavaScript,27
377,0.224945068359375,95,Go,43
378,0.23293685913085938,95,JavaScript,22
379,0.22425436973571777,95,Kotlin,57
380,0.2390451431274414,95,Swift,36
381,0.2243208885192871,95,JavaScript,24
382,0.27394580841064453,95,C++,30
383,0.2241511344909668,95,Python,37
384,0.21383190155029297,95,Java,90
385,0.21433186531066895,95,Swift,94
386,0.22888398170471191,95,JavaScript,81
387,0.3107788562774658,95,Ruby,95
388,0.23203730583190918,95,Java,60
389,0.21743202209472656,95,Python,50
390,0.21373724937438965,95,Swift,36
391,0.2382059097290039,95,Python,68
392,0.2259199619293213,95,C++,73
393,0.2621338367462158,95,Go,37
394,0.22377705574035645,95,Swift,92
395,0.21826887130737305,95,Python,50
396,0.21662306785583496,95,Python,94
397,0.23168587684631348,95,Go,67
398,0.21846723556518555,95,C++,18
399,0.25496792793273926,95,JavaScript,10
400,0.24280905723571777,95,C++,40
401,0.2388768196105957,95,JavaScript,58
402,0.21882891654968262,95,Ruby,100
403,0.24820423126220703,95,Java,51
404,0.2990100383758545,95,JavaScript,99
405,0.23958897590637207,95,Go,56
406,0.22420096397399902,95,Swift,12
407,0.23143601417541504,95,C++,61
408,0.22148823738098145,95,Ruby,72
409,0.247100830078125,95,Go,69
410,0.22676491737365723,95,Ruby,35
411,0.22864699363708496,95,JavaScript,85
412,0.2212817668914795,95,JavaScript,50
413,0.2183670997619629,95,JavaScript,94
414,0.22224998474121094,95,Python,94
415,0.21854114532470703,95,Python,14
416,0.23919105529785156,95,Python,80
417,0.2204878330230713,95,Ruby,5
418,0.2799537181854248,95,Kotlin,28
419,0.21665573120117188,95,Python,71
420,0.3821399211883545,95,Swift,40
421,0.21790695190429688,95,Python,83
422,0.23485398292541504,95,Ruby,50
423,0.29871106147766113,95,C++,83
424,0.22736001014709473,95,Java,73
425,0.2503011226654053,95,Go,87
426,0.2518031597137451,95,Python,84
427,0.21811199188232422,95,Swift,49
428,0.2505006790161133,95,Swift,38
429,0.32852792739868164,95,JavaScript,10
430,0.221085786819458,95,Go,68
431,0.2787132263183594,95,Go,61
432,0.2298603057861328,95,Python,88
433,0.22216391563415527,95,JavaScript,54
434,0.22376275062561035,95,Kotlin,85
435,0.23068523406982422,95,Python,48
436,0.2237548828125,95,C++,25
437,0.21154308319091797,95,Swift,50
438,0.24171113967895508,95,Go,24
439,0.2156379222869873,95,Kotlin,80
440,0.27663207054138184,95,JavaScript,73
441,0.24217486381530762,95,Swift,88
442,0.2301619052886963,95,Swift,56
443,0.25970005989074707,95,Swift,70
444,0.22227907180786133,95,C++,37
445,0.2519528865814209,95,Python,10
446,2.805279016494751,95,JavaScript,96
447,0.22349119186401367,95,Go,51
448,0.24378275871276855,95,Go,71
449,0.22851085662841797,95,Ruby,47
450,0.24038076400756836,95,JavaScript,24
451,0.22316217422485352,95,Go,44
452,0.2256450653076172,95,C++,77
453,0.25177788734436035,95,Ruby,27
454,0.22017502784729004,95,Swift,32
455,0.22579097747802734,95,Kotlin,84
456,0.21914100646972656,95,Go,99
457,0.26265597343444824,95,JavaScript,32
458,0.21899628639221191,95,Ruby,99
459,0.27954816818237305,95,Kotlin,26
460,0.23995208740234375,95,Swift,24
461,0.22298979759216309,95,Ruby,22
462,0.21907305717468262,95,Kotlin,14
463,0.2176361083984375,95,Java,42
464,0.2497081756591797,95,Python,77
465,0.2356090545654297,95,Go,84
466,0.29229283332824707,95,Go,87
467,0.21072697639465332,95,Kotlin,3
468,0.2376420497894287,95,Ruby,24
469,0.22276687622070312,95,Go,85
470,0.23485016822814941,95,Swift,92
471,0.2156212329864502,95,Go,40
472,0.21346688270568848,95,JavaScript,33
473,0.23008108139038086,95,C++,33
474,0.21164512634277344,95,Swift,59
475,0.22868609428405762,95,Go,17
476,0.22234416007995605,95,Swift,24
477,0.2809300422668457,95,Python,24
